identifier,digital resource locator,contributing repository,title,date created (W3CDTF),"date created (human readable, for approximate dates)",creator,rights,language,subject,type,extent,spatial,description,publisher,isPartOf,full text available (y/n)?,local data 1,local data 2,local data 3
rg225_b1_f9_02,https://digital.history.pcusa.org/islandora/object/islandora:158668,Presbyterian Historical Society,Papers from Philadelphia Seminary Alumnae Association and Woman's Foreign Missionary Society of the Presbyterian Church,1886-1915,approximately 1886-1915,,"This work is believed to be in the Public Domain under the laws of the United States. For more information, see http://rightsstatements.org/page/NoC-US/1.0/",eng,"Blatchley, Mary Louise|Woman's Foreign Missionary Society of the Presbyterian Church (Presbyterian Church in the U.S.A.)|Wayne Presbyterian Church (Wayne, Pa.)|Presbyterian Church--Missions|Women in missionary work|Women in church work--Presbyterian Church--Pennsylvania|Female seminaries--Pennsylvania--Philadelphia|Women--Societies and clubs|Philadelphia (Pa.)|Wayne (Pa.)|Laos--Civilization|Thailand--Civilization|Manuscripts|Archives|Ephemera|Invitations",text,34 pages,Wayne (Pa.)|Laos|Thailand|Philadelphia (Pa.),Papers from Philadelphia Seminary Alumnae Association and Woman's Foreign Missionary Society of the Presbyterian Church. Also includes handwritten prose and ephemera related to Wayne Presbyterian Church.,,Mary Louise Blatchley papers,n,,,
rg225_b1_f9_01,https://digital.history.pcusa.org/islandora/object/islandora:158034,Presbyterian Historical Society,"Mary Louise Blatchley personal notebook, 1890-1894",1890-1894, ,"Blatchley, Mary Louise","This work is believed to be in the Public Domain under the laws of the United States. For more information, see http://rightsstatements.org/page/NoC-US/1.0/",eng,"Blatchley, Mary Louise|Presbyterian Church--Missions|Women in missionary work|Presbyterian women--Diaries|Archives|Diaries",text,74 pages,United States,Notes written primarily in shorthand. ,,Mary Louise Blatchley papers,n,,,
rg225_b1_f8_10,https://digital.history.pcusa.org/islandora/object/islandora:158708,Presbyterian Historical Society,"Over sea and land, advertisements",1889-1910,approximately 1889-1910,Woman's Foreign Missionary Society of the Presbyterian Church (Presbyterian Church in the U.S.A.),"This work is believed to be in the Public Domain under the laws of the United States. For more information, see http://rightsstatements.org/page/NoC-US/1.0/",eng,"Blatchley, Mary Louise|Presbyterian Church--Missions--Periodicals|Women in missionary work|Presbyterian Church--Periodicals|Archives|Advertisements",text,3 pages,United States,Information about Over Sea and Land publication with subscription price.,Woman's Foreign Missionary Society of the Presbyterian Church,Mary Louise Blatchley papers,n,,,
rg225_b1_f8_09,https://digital.history.pcusa.org/islandora/object/islandora:158750,Presbyterian Historical Society,"Good Will mission, Good Will, South Dakota",1904,,Presbyterian Church in the U.S.A. Woman's Board of Home Missions.,"This work is believed to be in the Public Domain under the laws of the United States. For more information, see http://rightsstatements.org/page/NoC-US/1.0/",eng,"Blatchley, Mary Louise|Presbyterian Church--Missions--South Dakota--Goodwill|Dakota Indians--South Dakota--Goodwill|Evangelistic work--South Dakota--Goodwill|Home missions--South Dakota--Goodwill|Goodwill (S.D. : Township)--Missions|Pamphlets|Archives",text,14 pages,Goodwill (S.D. : Township),"14 page pamphlet about the history of the Good Will Mission, South Dakota.",Woman's Board of Home Missions of the Presbyterian Church in the U.S.A.,Mary Louise Blatchley papers,n,,,
rg225_b1_f8_08,https://digital.history.pcusa.org/islandora/object/islandora:158114,Presbyterian Historical Society,The movement for new China,1889-1910,approximately 1889-1910,Woman's Foreign Missionary Society of the Presbyterian Church (Presbyterian Church in the U.S.A.),"This work is believed to be in the Public Domain under the laws of the United States. For more information, see http://rightsstatements.org/page/NoC-US/1.0/",eng,"Blatchley, Mary Louise|Presbyterian Church in the U.S.A.--Missions--China|Women in missionary work--China|Presbyterian Church--Missions--China|Missions--China|China--Missions|Leaflets|Archives",text,6 pages,China,Plans and suggestions for ways women's missionary societies can support work in China.,Woman's Foreign Missionary Society of the Presbyterian Church,Mary Louise Blatchley papers,n,,,
rg225_b1_f8_07,https://digital.history.pcusa.org/islandora/object/islandora:158326,Presbyterian Historical Society,Inasmuch,1903,,"Judd, Jeanette W.|Presbyterian Church in the U.S.A. Woman's Board of Home Missions.","This work is believed to be in the Public Domain under the laws of the United States. For more information, see http://rightsstatements.org/page/NoC-US/1.0/",eng,"Blatchley, Mary Louise|Presbyterian Church in the U.S.A.--Missions--West (U.S.)|Presbyterian Church--Missions--West (U.S.)|Women in missionary work|Home missions--West (U.S.)|Missionaries--West (U.S.)|West (U.S.)--Missions|China--Missions|Pamphlets|Archives",text,8 pages,China|West (U.S.),8 page story about home missionaries in the western U.S.,Woman's Board of Home Missions of the Presbyterian Church in the U.S.A.,Mary Louise Blatchley papers,n,,,
rg225_b1_f8_06,https://digital.history.pcusa.org/islandora/object/islandora:158703,Presbyterian Historical Society,A young woman missionary: China,1904-1912,approximately 1904-1912,Woman's Foreign Missionary Society of the Presbyterian Church (Presbyterian Church in the U.S.A.),"This work is believed to be in the Public Domain under the laws of the United States. For more information, see http://rightsstatements.org/page/NoC-US/1.0/",eng,"Blatchley, Mary Louise|Moore, Mary Chalfant|Presbyterian Church in the U.S.A. West Shantung Mission|Women missionaries--China|Women in missionary work--China|Presbyterian Church--Missions--China|Missions--China|Wei Xian (Shandong Sheng, China)|China--Missions|Leaflets|Archives",text,4 pages,China,4 page pamphlet about Mary Chalfant Moore's missionary work in China.,Woman's Foreign Missionary Society of the Presbyterian Church,Mary Louise Blatchley papers,n,,,
rg225_b1_f8_05,https://digital.history.pcusa.org/islandora/object/islandora:158313,Presbyterian Historical Society,Home life in lands not Christian: Siam and Laos,1889-1910,approximately 1889-1910,"Phraner, Mrs. S. K.|Woman's Foreign Missionary Society of the Presbyterian Church (Presbyterian Church in the U.S.A.)","This work is believed to be in the Public Domain under the laws of the United States. For more information, see http://rightsstatements.org/page/NoC-US/1.0/",eng,"Blatchley, Mary Louise|Presbyterian Church in the U.S.A. Laos Mission|Presbyterian Church in the U.S.A. Siam Mission|Presbyterian Church in the U.S.A. Thailand Mission|Presbyterian Church--Missions--Laos|Women in missionary work--Laos|Presbyterian Church--Missions--Thailand|Women in missionary work--Thailand|Laotians|Thais|Laos--Civilization|Thailand--Civilization|Pamphlets|Archives",text,12 pages,Laos|Thailand,12 page publication about Siam [Thailand] and Laos.,Woman's Foreign Missionary Society of the Presbyterian Church,Mary Louise Blatchley papers,n,,,
rg225_b1_f8_04,https://digital.history.pcusa.org/islandora/object/islandora:158109,Presbyterian Historical Society,The reminder of prayer meetings in the interest of home missions,1905-1906, ,Presbyterian Church in the U.S.A. Board of Home Missions.,"This work is believed to be in the Public Domain under the laws of the United States. For more information, see http://rightsstatements.org/page/NoC-US/1.0/",eng,"Blatchley, Mary Louise|Presbyterian Church in the U.S.A. Board of Home Missions|Presbyterian Church--Missions|Women in missionary work|Home missions|United States--Missions|Leaflets|Archives|Programs",text,4 pages,United States,Schedule of forthcoming prayer missions.,,Mary Louise Blatchley papers,n,,,
rg225_b1_f8_03,https://digital.history.pcusa.org/islandora/object/islandora:158733,Presbyterian Historical Society,Twenty questions and answers on our school work in Porto Rico,1911,,Presbyterian Church in the U.S.A. Board of Home Missions.,"This work is believed to be in the Public Domain under the laws of the United States. For more information, see http://rightsstatements.org/page/NoC-US/1.0/",eng,"Blatchley, Mary Louise|Presbyterian Church in the U.S.A. Board of Home Missions|Presbyterian Church in the U.S.A.--Missions--Puerto Rico|Presbyterian Church--Missions--Puerto Rico|Missions--Educational work--Puerto Rico|Women in missionary work--Puerto Rico|Schools--Puerto Rico|Puerto Rico--Missions|Puerto Rico--Schools|Pamphlets|Archives",text,16 pages,Puerto Rico,Pamphlet about mission schools in Puerto Rico.,Woman's Board of Home Missions of the Presbyterian Church in the U.S.A.,Mary Louise Blatchley papers,n,,,
rg225_b1_f8_02,https://digital.history.pcusa.org/islandora/object/islandora:158121,Presbyterian Historical Society,Eleven reasons for attending missionary meetings,1889-1910,approximately 1889-1910,"Reed, Agnes A.|Woman's Foreign Missionary Society of the Presbyterian Church (Presbyterian Church in the U.S.A.)","This work is believed to be in the Public Domain under the laws of the United States. For more information, see http://rightsstatements.org/page/NoC-US/1.0/",eng,"Blatchley, Mary Louise|Woman's Foreign Missionary Society of the Presbyterian Church (Presbyterian Church in the U.S.A.)|Presbyterian Church--Missions|Women in missionary work|Women--Societies and clubs|Pamphlets|Archives",text,8 pages,United States,Pamphlet offering reasons to attend missionary society meetings.,Woman's Foreign Missionary Society of the Presbyterian Church,Mary Louise Blatchley papers,n,,,
rg225_b1_f8_01,https://digital.history.pcusa.org/islandora/object/islandora:158712,Presbyterian Historical Society,Whispers of a home missionary,1905,,Presbyterian Church in the U.S.A. Board of Home Missions.,"This work is believed to be in the Public Domain under the laws of the United States. For more information, see http://rightsstatements.org/page/NoC-US/1.0/",eng,"Blatchley, Mary Louise|Woman's Foreign Missionary Society of the Presbyterian Church (Presbyterian Church in the U.S.A.)|Presbyterian Church--Missions|Women in missionary work|Women--Societies and clubs|Home missions|United States--Missions|Pamphlets|Archives",text,20 pages,United States,20 page publication about correspondence between missionaries and women's foreign missionary societies.,Woman's Board of Home Missions of the Presbyterian Church in the U.S.A.,Mary Louise Blatchley papers,n,,,
rg225_b1_f7,https://digital.history.pcusa.org/islandora/object/islandora:158307,Presbyterian Historical Society,"Annual report, Women's Foreign Missionary Society of Philadelphia, Presbytery of Chester, 1907-1908",1907-1908, ,"Blatchley, Mary Louise","This work is believed to be in the Public Domain under the laws of the United States. For more information, see http://rightsstatements.org/page/NoC-US/1.0/",eng,"Blatchley, Mary Louise|Woman's Foreign Missionary Society of the Presbyterian Church (Presbyterian Church in the U.S.A.)|Presbyterian Church in the U.S.A. Presbytery of Chester--Missions|Wayne Presbyterian Church (Wayne, Pa.)|Presbyterian Church--Missions|Women in missionary work|Women--Societies and clubs|Wayne (Pa.)|Archives|Annual reports",text,5 pages,Wayne (Pa.),"1907-1908 annual report of the Women's Foreign Missionary Society of Philadelphia, Presbytery of Chester.",,Mary Louise Blatchley papers,n,,,
rg225_b1_f6,https://digital.history.pcusa.org/islandora/object/islandora:158563,Presbyterian Historical Society,"Mary Louise Blatchley correspondence, 1895-1907",1895-1907, ,"Blatchley, Mary Louise|Birkinbine, Mary L.|Myers, J. M.|Blatchley, Henry Gilbert|Bristol, Sadie|Bennett, Harriet D.|Blatchley, Charles Alfred|Haney, Clara L.|Reid, Belle|Roberts, Frances L.","This work is believed to be in the Public Domain under the laws of the United States. For more information, see http://rightsstatements.org/page/NoC-US/1.0/",eng,"Blatchley, Mary Louise|Presbyterian Church--Missions|Women in church work--Presbyterian Church--Pennsylvania|Women in missionary work|Home missions|Philadelphia (Pa.)|Wayne (Pa.)|Guilford (Conn.)|Grafton (W. Va.)|Cornwall (Conn.)|Lebanon (Pa.)|Parkesburg (Pa.)|Irvington (N.Y.)|Prospect Park (Delaware County, Pa.)|Berwyn (Pa.)|Clippings|Archives|Correspondence",text,104 pages,"Philadelphia (Pa.)|Wayne (Pa.)|Guilford (Conn.)|Grafton (W. Va.)|Cornwall (Conn.)|Lebanon (Pa.)|Parkesburg (Pa.)|Irvington (N.Y.)|Prospect Park (Delaware County, Pa.)|Berwyn (Pa.)",Primarily letters addressed to Mary Louise Blatchley.,,Mary Louise Blatchley papers,n,,,
rg225_b1_f5,https://digital.history.pcusa.org/islandora/object/islandora:158130,Presbyterian Historical Society,"Mary Louise Blatchley correspondence, 1894",1894,,"Blatchley, Mary Louise|Bennett, Harriet D.|Bristol, Allen|Blatchley, Henry Gilbert|Haney, Clara L.|Blatchley, Charles Alfred|Bristol, Sadie|Harrison, Agnes|Birkinbine, Mary L.|Matthews, B. L.","This work is believed to be in the Public Domain under the laws of the United States. For more information, see http://rightsstatements.org/page/NoC-US/1.0/",eng,"Blatchley, Mary Louise|Presbyterian Church--Missions|Women in church work--Presbyterian Church--Pennsylvania|Philadelphia (Pa.)|Wayne (Pa.)|Guilford (Conn.)|Grafton (W. Va.)|Cornwall (Conn.)|Newburyport (Mass.)|Juneau (Alaska)|Brooklyn (New York, N.Y.)|Winthrop (Me.)|Lebanon (Pa.)|Clippings|Archives|Correspondence",text,176 pages,"Philadelphia (Pa.)|Wayne (Pa.)|Guilford (Conn.)|Grafton (W. Va.)|Cornwall (Conn.|)Newburyport (Mass.)|Juneau (Alaska)|Brooklyn (New York, N.Y.)|Winthrop (Me.)|Lebanon (Pa.)",Primarily letters addressed to Mary Louise Blatchley.,,Mary Louise Blatchley papers,n,,,
rg225_b1_f4,https://digital.history.pcusa.org/islandora/object/islandora:157886,Presbyterian Historical Society,"Mary Louise Blatchley correspondence, 1889-1893",1889-1893, ,"Blatchley, Mary Louise|Blatchley, Charles Gilbert|Dean, Nellie E.|Harrison, Agnes|Haney, Clara L.|Blatchley, Henry Gilbert|Bristol, Allen","This work is believed to be in the Public Domain under the laws of the United States. For more information, see http://rightsstatements.org/page/NoC-US/1.0/",eng,Presbyterian Church--Missions|Women in church work--Presbyterian Church--Pennsylvania|Philadelphia (Pa.)|Altoona (Iowa)|Guilford (Conn.)|Grafton (W. Va.)|Wayne (Pa.)|Correspondence,text,147 pages,Philadelphia (Pa.)|Altoona (Iowa)|Guilford (Conn.)|Grafton (W. Va.)|Wayne (Pa.),Primarily letters addressed to Mary Louise Blatchley.,,Mary Louise Blatchley papers,n,,,
rg225_b1_f3,https://digital.history.pcusa.org/islandora/object/islandora:158449,Presbyterian Historical Society,"Mary Louise Blatchley speeches and addresses, 1920-1935",1920-1935, ,"Blatchley, Mary Louise","This work is believed to be in the Public Domain under the laws of the United States. For more information, see http://rightsstatements.org/page/NoC-US/1.0/",eng,"Woman's Foreign Missionary Society of the Presbyterian Church (Presbyterian Church in the U.S.A.)|Presbyterian Church--Missions|Missionaries|Presbyterian Church--Home missions|Speeches, addresses, etc.|Manuscripts",text,113 pages,United States,Speeches on the home and foreign mission work of the Presbyterian Church around the world. ,,Mary Louise Blatchley papers,n,,,
rg225_b1_f2,https://digital.history.pcusa.org/islandora/object/islandora:158335,Presbyterian Historical Society,"Mary Louise Blatchley speeches and addresses, 1902-1910",1902-1910, ,"Blatchley, Mary Louise","This work is believed to be in the Public Domain under the laws of the United States. For more information, see http://rightsstatements.org/page/NoC-US/1.0/",eng,"Woman's Foreign Missionary Society of the Presbyterian Church (Presbyterian Church in the U.S.A.)|Presbyterian Church--Missions|Missionaries|Presbyterian Church--Home missions|Speeches, addresses, etc.|Manuscripts|Clippings",text,113 pages,United States,Speeches on the home and foreign mission work of the Presbyterian Church around the world. ,,Mary Louise Blatchley papers,n,,,
rg116_b2_f15,https://digital.history.pcusa.org/islandora/object/islandora:156344,Presbyterian Historical Society,"Belle Hawkes' personal items, approximately 1872-1919",1872-1919 ,approximately 1872-1919,"Hawkes, Belle, 1854-1919","This work is believed to be in the Public Domain under the laws of the United States. For more information, see http://rightsstatements.org/page/NoC-US/1.0/",eng,"Hawkes, Belle, 1854-1919|Sherwood, Margaret Pollock, 1864-1955|Hawkes, James W.|Women missionaries--Iran|Missionaries--Iran|Iran|Manuscripts|Paintings|Archives|Jokes|Architectural drawings",text,106 pages,Iran,"Begins with a note from Belle Hawkes' relative: ""Miscellaneous items found with Aunt Belle's diaries - plans of some house - Persia? Wit and humor - a fascinating collection."" Includes unspecified building plans, paintings that Belle Hawkes created for her sister, Margaret, and a collection of jokes and humorous stories.",,Belle Hawkes papers,n,,,
rg116_b2_f14,https://digital.history.pcusa.org/islandora/object/islandora:155909,Presbyterian Historical Society,"Belle Hawkes' biographical items, approximately 1871-1969",1871-1969,approximately 1871-1969,"Hawkes, Belle, 1854-1919|Speer, Robert E. (Robert Elliott), 1867-1947|Hawkes, James W.|Bailey, LeRoy, 1946-","This work is believed to be in the Public Domain under the laws of the United States. For more information, see http://rightsstatements.org/page/NoC-US/1.0/",eng,"Hawkes, Belle, 1854-1919|Sherwood, Margaret Pollock, 1864-1955|Hale, Ralph T. (Ralph Tracy), 1880-|Harper, Jean|Harper, Francis|Cowles, A. W.|Bailey, LeRoy, 1946-|Sherwood, Mary Frances|Speer, Robert E. (Robert Elliott), 1867-1947|Elmira College|Women missionaries--Iran|Missionaries--Iran|Iran|Manuscripts|Archives|Correspondence|Biographies",text,9 pages,Iran,"Belle Hawkes biographical data as provided by some of her loved ones. Includes: a letter written by Robert Speer addressed to Belle Hawkes' sister, Margaret; ""Belle Sherwood Hawkes - Thirty-Six Years in Persia,"" a 1931 essay written her husband, James W. Hawkes for the Elmira College Alumnae News; an excerpt from a 1969 letter from LeRoy Bailey, the nephew of Belle, to Jane and Francis Harper. Also includes Belle Hawkes' ""Circular Letter to Expected Students,"" for Elmira College, 1871.",,Belle Hawkes papers,n,,,
rg116_b2_f13_33,https://digital.history.pcusa.org/islandora/object/islandora:159910,Presbyterian Historical Society,Belle Hawkes on her pet horse,1883-1919 ,approximately 1883-1919,"Hawkes, Belle, 1854-1919","This work is believed to be in the Public Domain under the laws of the United States. For more information, see http://rightsstatements.org/page/NoC-US/1.0/",,"Hawkes, Belle, 1854-1919|Women missionaries--Iran|Horses--Iran|Iran|Negatives|Archives",image,negative : black-and-white ; 5 x 4 inches,Iran,Photograph of Belle Hawkes on a horse.,,Belle Hawkes papers,n,,,
