Contributing Repository,Phase Digitized,Collection Title,Creator,date created (W3CDTF),"date created (human readable, for approximate dates)",Extent,Identifier/Collection Number,Finding Aid Link,Subjects,Abstract,Additional Description,Research Interest,TROUBLESHOOTING
Drexel University College of Medicine Legacy Center,NEH,Isabel Stein Collection on Elizabeth Cisney Smith--ACC-2007.002,"Smith, Elizabeth Cisney, M.D., 1881-1965",1887-1972,,6.8 linear feet,2007.002,http://hdl.library.upenn.edu/1017/d/pacscl/DUCOM_WM2007002,,"Elizabeth Cisney Smith (1881 to 1965) was a practicing physician for 35 years from the time of her graduation from Woman's Medical College of Pennsylvania in 1911 to her retirement in 1946. She primarily worked in Pennsylvania and Maryland with brief time spent in North Dakota and Ohio. Dr. Smith was an active supporter of women's rights as well as the suffrage movement. The collection was initially compiled and arranged by Isabel Smith Stein the daughter of Dr. Elizabeth Cisney Smith, and consists of 6 linear feet of material housed in 17 boxes. This collection dates from 1887 to 1972 and is composed of diaries and memoirs, correspondence, photographs, and audio materials.","The collection was initially compiled and arranged by Isabel Smith Stein the daughter of Dr. Elizabeth Cisney Smith, and consists of 6 linear feet of material housed in 17 boxes. This collection dates from 1887 to 1972 and is composed of two main series: Elizabeth Cisney Smith and Isabel Smith Stein. There is evidence that this collection was compiled by Elizabeth's family (primarily Isabel) for the purpose of recording the life of their mother Elizabeth Cisney Smith.

The first series includes: Dr. Smith's personal history and background, personal correspondence (primarily with family), medical practice, materials related to her husband Dr. Augustus Edwin Smith, photographs and audio materials.

The second series, relating to Isabel Smith Stein, consists of: Isabel's biographical writings, stories and articles, correspondence, and research files on women in medicine.

The strength of this collection comes from Dr. Smith's memoirs and personal writings, which add depth to the collection with her detailed accounts of attending the Woman's Medical College, her involvement in women's suffrage, as well as dealing with the turbulent times of The Great Depression. Stein's biographical writings are influenced by her mother's life and summarize the uniqueness of her mother as female doctor during the first half of the 20th century. The collection has an extensive amount of correspondence both from and to Dr. Smith with various sources (primarily her family), which support the memoirs.",,
Drexel University College of Medicine Legacy Center,NEH,Marion Craig Potter papers--ACC-138,,,,,Acc. 183,,,"Dr. Marion Craig Potter was a physician, philanthropist, and suffrage activist known for her advocacy for women in the medical field. Born in 1863 in Churchville, New York to a family of doctors, Dr. Potter graduated from the University of Michigan Medical Department in 1884. After graduation she started and operated a large practice in Rochester, New York. Dr. Potter worked as a physician at both her personal practice and at the Outpatient Department’s Woman’s Clinic at Rochester City Hospital, which she was appointed to in 1898. While working, Dr. Potter also joined a number of medical and philanthropic clubs, and helped found the Medical Women’s National Association and the Blackwell Medical Society. She was recognized for her work vaccinating the people of upstate New York for diphtheria and her work providing medical aid to child refugees in Serbia during World War I. She was married to Dr. Ezra B. Potter Jr. from 1893 until his death in 1921, and had two sons with him. Dr. Marion Craig Potter passed away at the age of 79 in Rochester on March 23, 1943. The Marion Craig Potter Papers are mainly professional materials, reference materials, and correspondence, 1897 to 1941, with the bulk of the material from 1906 and 1922. The majority of the material is professional and reference material collected by Dr. Potter pertaining to the groups she was a part of, her family members, her own written works, lectures, and speeches, and the works and accomplishments of her colleagues. Among the correspondence and clippings is information concerning Doctors Sarah Reid Adamson Dolley and Rosalie Slaughter Morton.",,,
Drexel University College of Medicine Legacy Center,NEH,Mary Pauline Root papers--ACC-257,"Root, Mary Pauline, 1859-1944",1883-1985,,0.4 linear feet,257,http://hdl.library.upenn.edu/1017/d/pacscl/DUCOM_WM257,,"Dr. (Mary) Pauline Root (b. 1859, d.1944) was a graduate of Woman's Medical College of Pennsylvania in 1883. She was the first female doctor to receive an internship at Blockley Hospital in Philadelphia, and was reportedly the first female doctor to be sent on a mission by the American Board of Commissioners for Foreign Missions. She carried out medical missionary work from 1885-1893 at a women's hospital in Madurai, India. Root completed post-graduate work at the Manhattan Eye and Ear Hospital before she was employed as the resident physician at Smith College from 1906-1909, where she taught courses on ""hygiene"". From 1919-1921, Root traveled around the United States teaching ""social hygiene"" in Native American communities and Indian Government Schools for the United States Bureau of Indian Affairs. This collection contains both written and photographic material, spanning the years 1883-1985. The richness of this collection is found in Root's notes from her time spent teaching ""social hygiene"" in Native American communities across the United States. The materials concerning missionary work in this collection are more focused on the Christian mission rather than focused on the medical work performed.",,,
Drexel University College of Medicine Legacy Center,NEH/Pilot,"West Philadelphia Hospital for Women records, 1889-1932--ACC-001",West Philadelphia Hospital for Women and Children,1889-1932,,1.25 linear feet,WM.SC.160,http://dla.library.upenn.edu/dla/pacscl/detail.html?id=PACSCL_DUCOM_WMSC160,,"Founded by Dr. Elizabeth Comly-Howell in 1889, the West Philadelphia Hospital for Women was established in order to provide a place in West Philadelphia where women could be treated by women. In 1929, the hospital merged with the Woman's Hospital of Philadelphia. At the time of the merger, it was arranged that all maternity cases would be sent to the West Philadelphia Hospital, and surgical cases would be kept at the Woman's Hospital of Philadelphia. The Woman's Hospital of Philadelphia continued in existence until 1964 when it was absorbed by the Hospital of the University of Pennsylvania. The collection contains Board of Manager records, Executive Committee records and historical materials.The West Philadelphia Hospital for Women records are arranged in three series: ""Board of Managers records,"" ""Executive Committee records,"" and ""Historical materials."" The ""Board of Managers records"" includes Regular Monthly Meeting minutes from 1889 to 1901 and 1917 to 1932; Annual Meeting Minutes from 1920 to 1929; and Annual Reports from 1890 to 1893, 1904 to 1910, 1913 to 1914, and 1918 to 1927. The ""Executive Committee records"" include Regular Monthly Meeting minutes from 1908 to 1914. The ""Historical materials"" series consists of a history of the Hospital, circa 1899; rules for the Superintendent and Directress of Nurses, 1901; the Charter and By-Laws of the West Philadelphia Hospital for Women, 1912; Broomall Club new members letter, 1916; a descriptive brochure, 1917; and the resolution to merge with Woman's Hospital of Philadelphia, circa 1929.","Board of Managers minutes are procedural, with more space devoted to committee reports, budgets, and resolutions than to the practice of medicine. However, they do shed light on institutional and treatment practices, noting the number of patients admitted (including free or at reduced rates), prescriptions written, and surgeries performed, as well as listing hospital staff and discussing the kinds of equipment and facilities they need. Executive Committee minutes also include committee reports, budgets, and resolutions, but they are more hands-on in terms of the day-to-day happenings in the hospital and its nurse training program, including students' grades, relationships between students and instructors, and what constituted proper training. Annual reports are the most detailed of all, with comprehensive breakdowns of patients and treatments. They also include tables of income, disbursements, and donations, as well as pictures of the facilities.","In addition to the importance of the annual reports, historians who study women's voluntary organizations will find these papers useful. From the beginning, they show hospital leaders running the institution like a business, very much in keeping with the organizational patterns of women's benevolent work earlier in the nineteenth century. Other women's historians will note with interest the participation of philanthropist Anna T. Jeanes. Researchers of the history of medicine will find these materials very instructive in illustrating how treatment and training programs changed over the course of the late nineteenth and early twentieth centuries.",
Drexel University College of Medicine Legacy Center,NEH,"Martha Dunn Corey papers, 1877-1907--ACC-322",,,,,Acc. 322,,,"Dr. Martha Dunn Corey practiced in Ohio, New York, Connecticut, and California from 1879 until 1927, and is best known for becoming the first resident physician in the Pacific Beach/La Jolla area in California. Dr. Corey was born in New York City, New York in 1852, and graduated from the Woman’s Homeopathic Medical College of New York in 1876 and Woman’s Medical College of Pennsylvania in 1879. She lived and practiced medicine in New York, Connecticut, Missouri, Ohio, and California before moving in 1906 to La Jolla, California. She was married to George Henry Corey from 1888 until his death in 1906, and had three sons with him. Dr. Corey passed away in 1927 at the age of 75, and is still respected as a dedicated physician by those in the La Jolla/Pacific Beach area. The Martha Dunn Corey Papers mainly consist of personal documents and personal correspondence, and some photographs and ephemera. These materials date from 1878 to 1926, with most materials from the periods of 1885-1888 and 1897-1900.",,"The collection materials mainly pertain to Dr. Corey’s personal and family life. The materials in this collection are not numerous enough to give a sufficient biographical picture of Dr. Corey, but can give significant insight into parts of her family and personal life. This collection would be useful for any researcher studying women physicians building their own independent practices near the turn of the century, the personal life of women physicians during this time period, or the history of medicine in California.",
Drexel University College of Medicine Legacy Center,NEH/Pilot,"Anna M Fullerton diaries, 1915-1920--ACC-1992.012","Fullerton, Anna M. (Anna Martha), 1853-1938",1915-1933,,0.5 linear feet,1992.12,,,"Dr. Fullerton, a surgeon, spent the latter half of her life as a missionary to India after training and lecturing at Woman's Medical College of Pennsylvania and serving as the head of the West Philadelphia Hospital for Women. These diaries document her time at Dehra Dun from 1915 to 1933. Although Fullerton comments on the war, local customs, and her work in the hospital, she devotes the bulk of her writing to the weather, friends she heard from or saw, home improvements, legal and business transactions, quotes from the Bible, other books, and friends' letters.",,"A number of interesting themes run through these diaries. The first is US participation in the war, a development of which Fullerton did not approve. The second, and most prominent, concerns her paternalistic attitudes toward locals and their customs, however, attention to such issues is sporadic. Attitudes of missionaries toward local customs, particularly ""child brides,"" is dealt with more extensively in WMCP's Alumnae Transactions, as is American medical women's participation in the war. Since Fullerton often transcribes friends' letters in full, it is often difficult to determine where quoted material ends and her own thoughts begin.",
Drexel University College of Medicine Legacy Center,NEH,"Merle Mosier Potter papers, 1909-1920--ACC-202",,,,,Acc. 202,,,,,,
Drexel University College of Medicine Legacy Center,CLIR/Pilot,The Woman's Hospital of Philadelphia records--ACC-002,Woman's Hospital of Philadelphia,1861-1964,,8.5 linear feet,WM.002,http://dla.library.upenn.edu/dla/pacscl/detail.html?id=PACSCL_DUCOM_DUCOMWM002,,"Founded in 1861 by Ann Preston, M.D., the Woman's Hospital of Philadelphia provided clinical experience for the Woman's Medical College of Pennsylvania students and practical training for nurses. In 1929, the West Philadelphia Hospital for Women merged with the Woman's Hospital of Philadelphia, retaining the latter's name. The Woman's Hospital of Philadelphia continued in existence until 1964 when it was absorbed by the Hospital of the University of Pennsylvania. The collection contains minutes of the Board of Managers and various committees, dating from 1861 to 1964; financial records, including auditor's reports and bequests, and dating from 1894 to 1964; clinical reports, dating from the 1890s; a register of deaths dating from 1872 to 1890; board of manager minutes (1863 to 1881) and pamphlets and bulletins (1923-1924; 1957-1960) from the hospital's Training School for Nurses.",,"Board of Managers meeting minutes are interesting largely to the extent that they show women running a business. In addition to appointing officers, forming committees, electing members, and reading reports, they sought incorporation, looked for a building, dealt with maintenance and facility issues, and administered budgets. Beyond this, many of the richest aspects of the meeting minutes--bylaws about whom to admit and at what rate, statements on the need for a woman's hospital, and breakdowns of patients seen and treatments administered--are included in annual reports. In addition to detailed discussions of these subjects, annual reports will be of great interest to historians of women's education and employment. Researchers will be able to see how training of, and expectations for, women doctors and nurses evolved. Of particular interest are the regularly included rules for nurses, which lay out requirements for age, intelligence, character, behavior, and duties, and applications for the nurse training school, which include personal questions about marital status, children, health issues, height and weight, race, and religious denomination.",
Drexel University College of Medicine Legacy Center,CLIR,Laura Heath Hills papers--ACC-126,"Hills, Laura Heath",1892-1949,"1892-1949, bulk 1892-1896",2 linear feet,WM.SC.057,http://hdl.library.upenn.edu/1017/d/pacscl/DUCOM_WMSC057xml,,"Collection consists of a single scrapbook assembled by Dr. Laura Heath Hills. It contains photographs, personal letters, and other mementos covering the life of Dr. Hills from her entrance to Woman's Medical College in 1892 to 1949. ","Among the photographs are those showing administrators and faculty members of the college such as Dr. Clara Marshall, Dean; Dr. Anna Broomall, Professor of Obstetrics; and Dr. Mary W. Griscom. Also included are photographs showing medical students in the dissecting room, the chemistry laboratory, the library, etc. and personal photographs of Dr. Hills and her friends Grace Shermerhorn, Ellen J. Patterson, Clara Israel, and Nellie Louise Lawrence. One page of the scrapbook holds individual graduation pictures of the class of 1896. most of the photographs in the scrapbook have been labeled. Dr. Hills also included numerous printed materials among which are certificates of enrollment and completion of various courses, commencement announcements and programs for 1895 and 1896, original poems, personal letters, and newspaper clippings.",,
Drexel University College of Medicine Legacy Center,CLIR,Woman's Medical College of Pennsylvania faculty minutes--ACC-092,,,,,Acc. 092,,,"Minute books, 1850-1864, 1874-1963, of faculty meetings, including rough drafts, correspondence, and related materials; attendance book for faculty meetings, 1954-1967. Minute book, 1944-1961, with correspondence relating to activities of Faculty-Student Relations Committee.",,,
