identifier,digital resource locator,contributing repository,title,date created (W3CDTF),"date created (human readable, for approximate dates)",creator,rights,language,subject,type,extent,spatial,description,publisher,isPartOf,full text available (y/n)?,local data 1,local data 2,local data 3
ms040_b01f14d,,The German Society of Pennsylvania,"Women's Auxiliary of the German Society of Pennsylvania Transcribed Minutes, 1907-1913",1907-09-30 - 1913-06-30,,German Society of Pennsylvania,"Rights assessment is your responsibility. This work is believed to be in the Public Domain under the laws of the United States. This material is made available for noncommercial educational, scholarly, and/or charitable purposes. For other uses or for more information, please contact The German Society of Pennsylvania at librarian@germansociety.org.",deu,Charities | German Americans | German American women | Societies | Women--Societies and clubs | Immigrants,text,84 pages,Philadelphia (Pa.),"Typed transcription of meeting minutes for the Women's Auxiliary of the German Society of Pennsylvania. Transcribed from the German Gothic script by Hannelore Schill and Doris Simon, members of the Women's Auxiliary, in 2012. Folder also includes a CD-R containing the Word Document copy of the transcription.",,Women's Auxiliary of the German Society of Pennsylvania (Frauen-Hilfsverein) records,n,,,
ms040_b01f15,,The German Society of Pennsylvania,Listing of Occupations of Members and Husbands of Members of the Women's Auxiliary of the German Society of Pennsylvania,1900,,German Society of Pennsylvania,"Rights assessment is your responsibility. This work is believed to be in the Public Domain under the laws of the United States. This material is made available for noncommercial educational, scholarly, and/or charitable purposes. For other uses or for more information, please contact The German Society of Pennsylvania at librarian@germansociety.org.",eng,Charities | German Americans | German American women | Societies | Women--Societies and clubs | Immigrants,text,4 pages,Philadelphia (Pa.),"List of some members of the Women's Auxiliary of the German Society of Pennsylvania and some husbands of members. Each entry gives their occupation and location of business according to Boyd's Business Register, and their home address according to the German Society's Membership List.",,Women's Auxiliary of the German Society of Pennsylvania (Frauen-Hilfsverein) records,n,,,
ms040_b01f26_p01,,The German Society of Pennsylvania,"Letter to Franz Erlich, Jr.",1914-04-10,,German Society of Pennsylvania,"Rights assessment is your responsibility. This work is believed to be in the Public Domain under the laws of the United States. This material is made available for noncommercial educational, scholarly, and/or charitable purposes. For other uses or for more information, please contact The German Society of Pennsylvania at librarian@germansociety.org.",eng,Charities | German Americans | German American women | Societies | Women--Societies and clubs | Immigrants,text,1 page,Philadelphia (Pa.),Letter about admission tickets and other protocol for an event.,,Women's Auxiliary of the German Society of Pennsylvania (Frauen-Hilfsverein) records,n,,,
ms040_b01f26_p02,,The German Society of Pennsylvania,Letter to Mr. Angerer,1917-01-11,,German Society of Pennsylvania,"Rights assessment is your responsibility. This work is believed to be in the Public Domain under the laws of the United States. This material is made available for noncommercial educational, scholarly, and/or charitable purposes. For other uses or for more information, please contact The German Society of Pennsylvania at librarian@germansociety.org.",deu,Charities | German Americans | German American women | Societies | Women--Societies and clubs | Immigrants,text,1 page,Philadelphia (Pa.),Letter asking for permission from the House Committee to hold an event.,,Women's Auxiliary of the German Society of Pennsylvania (Frauen-Hilfsverein) records,n,,,
ms040_b01f26_p03,,The German Society of Pennsylvania,Letter to M. Delcy,1917-01-14,,German Society of Pennsylvania,"Rights assessment is your responsibility. This work is believed to be in the Public Domain under the laws of the United States. This material is made available for noncommercial educational, scholarly, and/or charitable purposes. For other uses or for more information, please contact The German Society of Pennsylvania at librarian@germansociety.org.",deu,Charities | German Americans | German American women | Societies | Women--Societies and clubs | Immigrants,text,1 page,Philadelphia (Pa.),Letter regarding sale of admission tickets to an event sponsored by the Women's Auxiliary.,,Women's Auxiliary of the German Society of Pennsylvania (Frauen-Hilfsverein) records,n,,,
ms040_b01f26_p04,,The German Society of Pennsylvania,Letter from J.B. Mayer to Women's  Auxiliary members,1917-04,,German Society of Pennsylvania,"Rights assessment is your responsibility. This work is believed to be in the Public Domain under the laws of the United States. This material is made available for noncommercial educational, scholarly, and/or charitable purposes. For other uses or for more information, please contact The German Society of Pennsylvania at librarian@germansociety.org.",deu,Charities | German Americans | German American women | Societies | Women--Societies and clubs | Immigrants,text,1 page,Philadelphia (Pa.),Letter requesting help in recruiting new German Society members.,,Women's Auxiliary of the German Society of Pennsylvania (Frauen-Hilfsverein) records,n,,,
ms040_b01f27,,The German Society of Pennsylvania,"Financial Records of the Women's Auxiliary of the German Society of Pennsylvania, 1915-1931",1915-1931,,German Society of Pennsylvania,"Rights assessment is your responsibility. This work is believed to be in the Public Domain under the laws of the United States. This material is made available for noncommercial educational, scholarly, and/or charitable purposes. For other uses or for more information, please contact The German Society of Pennsylvania at librarian@germansociety.org.",deu,Charities | German Americans | German American women | Societies | Women--Societies and clubs | Immigrants,text,100 pages,Philadelphia (Pa.),Notebook in which income and expenses of the Women's Auxiliary of the German Society of Pennsylvania were recorded.,,Women's Auxiliary of the German Society of Pennsylvania (Frauen-Hilfsverein) records,n,,,
ms040_b01f28,,The German Society of Pennsylvania,"Women's Auxiliary of the German Society of Pennsylvania Original Minutes, 1913-1918",1913-09-29 - 1918-01-25,,German Society of Pennsylvania,"Rights assessment is your responsibility. This work is believed to be in the Public Domain under the laws of the United States. This material is made available for noncommercial educational, scholarly, and/or charitable purposes. For other uses or for more information, please contact The German Society of Pennsylvania at librarian@germansociety.org.",deu,Charities | German Americans | German American women | Societies | Women--Societies and clubs | Immigrants,text,180 pages,Philadelphia (Pa.),Original handwritten meeting minutes for the Women's Auxiliary of the German Society of Pennsylvania.,,Women's Auxiliary of the German Society of Pennsylvania (Frauen-Hilfsverein) records,n,,,
ms040_b01f29,,The German Society of Pennsylvania,"Women's Auxiliary of the German Society of Pennsylvania Transcribed Minutes, 1913-1918",1913-09-29 - 1918-01-25,,German Society of Pennsylvania,"Rights assessment is your responsibility. This work is believed to be in the Public Domain under the laws of the United States. This material is made available for noncommercial educational, scholarly, and/or charitable purposes. For other uses or for more information, please contact The German Society of Pennsylvania at librarian@germansociety.org.",deu,Charities | German Americans | German American women | Societies | Women--Societies and clubs | Immigrants,text,178 pages,Philadelphia (Pa.),"Handwritten transcription of meeting minutes for the Women's Auxiliary of the German Society of Pennsylvania. Transcribed from the German Gothic script by Kathe Marx, member of the Women's Auxiliary, in 2006-2007.",,Women's Auxiliary of the German Society of Pennsylvania (Frauen-Hilfsverein) records,n,,,
ms040_b01f30 ,,The German Society of Pennsylvania,"Women's Auxiliary of the German Society of Pennsylvania Original Minutes, 1919-1925",1919-01-08 - 1925-06-29,,German Society of Pennsylvania,"Rights assessment is your responsibility. This work is believed to be in the Public Domain under the laws of the United States. This material is made available for noncommercial educational, scholarly, and/or charitable purposes. For other uses or for more information, please contact The German Society of Pennsylvania at librarian@germansociety.org.",deu,Charities | German Americans | German American women | Societies | Women--Societies and clubs | Immigrants,text,221 pages,Philadelphia (Pa.),Original handwritten meeting minutes for the Women's Auxiliary of the German Society of Pennsylvania.,,Women's Auxiliary of the German Society of Pennsylvania (Frauen-Hilfsverein) records,n,,,
ms040_b01f30a,,The German Society of Pennsylvania,"Women's Auxiliary of the German Society of Pennsylvania Transcribed Minutes, 1919-1925",1919-01-08 - 1925-06-29,,German Society of Pennsylvania,"Rights assessment is your responsibility. This work is believed to be in the Public Domain under the laws of the United States. This material is made available for noncommercial educational, scholarly, and/or charitable purposes. For other uses or for more information, please contact The German Society of Pennsylvania at librarian@germansociety.org.",deu,Charities | German Americans | German American women | Societies | Women--Societies and clubs | Immigrants,text,110 pages,Philadelphia (Pa.),"Typed transcription of meeting minutes for the Women's Auxiliary of the German Society of Pennsylvania. Transcribed from the German Gothic script by Hannelore Schill and Doris Simon, members of the Women's Auxiliary, in 2013. Folder also includes a CD-R containing the Word Document copy of the transcription.",,Women's Auxiliary of the German Society of Pennsylvania (Frauen-Hilfsverein) records,n,,,
