"contributing repository -  this field can go, wasn't sure if might be needed","identifier","subject","spatial","full text",,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F32_005","Ennis, Mildred Lillian| Browne, E. M.| African American nurses| African American nursing schools| African Americans--Social life and customs| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women","120 Emerson Street, Providence, Rhode Island, United States| 253 President Avenue, Providence, Rhode Island, United States| 41.79491,-71.414217| 41.836448,-71.383934","[Correspondence, physician verification of student's acceptable physical condition]
 
Roswell S. Wilcox, M.D.
656 Broad Street
Providence, R.I.
 
This certifies that I have examined
Miss Mildred Ennis, age 20 years, and
find her in good physical condition.
Respectfully yours,
Roswell S. Wilcox
 
Dec. twenty-second
 
",,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F32_006","Ennis, Mildred Lillian| P. G. Moore-Browne| Mercy-Douglass Hospital (Philadelphia, Pa.). School of Nursing| African American nurses| African American nursing schools| African Americans--Social life and customs| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women","169 Lippit Street, Providence, Providence County, Rhode Island, United States| 41.837277, -71.403001","169 Lippit Street
Providence, R.I.
December 16, 1915
 
The Frederick Douglas Memorial Training School
Philadelphia, Pa
 
I can cheerfully recommend Miss Mildred Ennis as being a fit and proper person to enter your institution in case her application is accepted. She has lived in the city of Providence all her life and her good character is known to all.
 
Yours truly,
P. G. Moore-Browne
St. Augustine’s Episcopal Mission
",,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F32_007","Ennis, Mildred Lillian| Mercy-Douglass Hospital (Philadelphia, Pa.). School of Nursing| African American nurses| African American nursing schools| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women","120 Emerson Street, Providence, Providence County, Rhode Island, United States| 41.79491, -71.414217",,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F4_001","Barnum, Evelyn| Frederick Douglass Memorial Hospital (Philadelphia, Pa.)| African American nurses| African American nursing schools| African Americans--Social life and customs| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women","Loganton, Clinton County, Pennsylvania, United States| 41.034238, -77.306641",,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F4_002","Barnum, Evelyn| African American nurses| African American nursing schools| African Americans--Social life and customs| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women","Loganton, Clinton County, Pennsylvania, United States| 41.034238, -77.306641","T. R. Harter, President
G. S. Boone, Vice-President
W. A. Morris, Cashier
 
Loganton National Bank
 
Capital Stock $25,000.00
Surplus and Undivided Profits $17,000.00
 
Loganton, PA
June 7, 1915
 
To whom it may concern:--
This is to certify that Evalyn Barnum is a young lady of good moral character, active and energetic, one whose desire ever is to please her employer, and it is with pleasure that I can recommend her for the position she is seeking after. 
 
Yours very respectfully,
W. A. Morris, Cashier
 
I gladly indorse the above recommendation
Ypurs
J. K. Heckman
 
",,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F4_003","Barnum, Evelyn| Houtz, Jennie| Mercy-Douglass Hospital (Philadelphia, Pa.). School of Nursing| African American nurses| African American nursing schools| African Americans--Social life and customs| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women",,"To the Douglas Memorial Hospital-
 
This is to certify that Miss Evelyn Barnum has always been a girl  [strikeout]of[strikeout] of a good honest reputation. Have known her from a child. Always found her to be just the same. She has a nice disposition and is deserving of a good position.
 
[My?] Respectfully,
 
Mrs. Jennie [Houtz]
",,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F4_004","Barnum, Evelyn| Goodman, L.M.| Mercy-Douglass Hospital (Philadelphia, Pa.). School of Nursing| African American nurses| African American nursing schools| African Americans--Social life and customs| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women","345 Allegheny Street, Jersey Shore, Pennsylvania, United States| 41.203214, -77.258144","Hours 
12-2 P.M.
6-8 P.M.
 
Dr. L. M. Goodman
[345] Allegheny St.
Jersey Shore, PA
 
June 9, 1915
 
To whom it may concern-
 
This is to certify that I have been personally acquainted with Miss Evelyn G. Bauman, all her life, and that I know her to be in excellent physical shape and perfectly competent to enter a training school for nurses.
 
[W.R.] Goodman, M.D.
 
 
 
",,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F4_005","Barnum, Evelyn| Browne, Elsie M.| Mercy-Douglass Hospital (Philadelphia, Pa.). School of Nursing| African American nurses| African American nursing schools| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women","Loganton, Clinton County, Pennsylvania, United States| 41.034238, -77.306641","[Page 1]
 
Loganton, P.A.
June 11, 1915
 
Miss E.M. Browne,
Phila. P.A.,
 
Dear Miss Browne,
 
Received your letter and its content and have filled out the application blank and hope it will prove to be satisfactory to you.
 
With the application blank I am sending you some recommendation of some of the prominent
 
[Page 2]
People in our town who have always known me.
 
Had been with Mrs. Milnor until the 1st of Apr. then she moved from our vicinity to Wmsport to the address given on the application blank and you can refer to her if you desire to.
 
In regard to the Pastor as we have no colored churches in our town I was a member of the German Lutheran we have not
 
[Page 3]
Had a regular minister until some time ago and I am just merely acquainted with him. I was brought up in the Lutheran church and Sunday school all my life and the recommendations will tell you I have always been and tried to do my duty every place.
 
As we have no Photography in town and I have not had any pictures taken lately I don’t have any to send you at present but if
 
[Page 4]
I must send one I will try and have some made. I am a very light brown skin and have very dark brown hair.
 
Hoping I may be satisfactory to you and please let me know if I will be able to obtain a position you will be waiting for an early reply.
 
Very truly yours,
 
Evelyn G. Barnum
",,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F4_010","Barnum, Evelyn| Mercy-Douglass Hospital (Philadelphia, Pa.). School of Nursing| African American nurses| African American nursing schools| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women","Loganton, Clinton County, Pennsylvania, United States| 41.034238, -77.306641",,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F45_001","Medical women",,,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F45_002","Medical women",,,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F45_003","Medical women",,,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F45_004","Medical women",,,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F45_005","Medical women",,,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F45_006","Medical women",,,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F45_008","Medical women",,,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F45_008","Medical women",,,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F45_009","Medical women",,,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F45_010","Medical women",,,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F45_015","Medical women",,,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F45_029","Medical women",,,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F45_031","Medical women",,,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F56_001","Medical women","Schoolfield, Pittsylvania County, Virginia, United States| 36.563750, -79.427246",,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F57_001","Medical women",,,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F57_002","Medical women",,,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F57_004","Medical women",,,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F57_005","Medical women",,,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F57_006","Medical women",,,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F57_007","Medical women",,,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F57_008","Medical women",,,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F57_022","Medical women",,,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F57_024","Medical women",,,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F62_001","Jones, Lovis| African American nurses| Minority women| Medical women",,,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F62_002","Jones, Lovis| African American nurses| Minority women| Medical women",,,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F62_003","Jones, Lovis L.| Jones, Andrew W.| Fisk, F. M.| African American nurses| African American nursing schools| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women","57 N. McCamley St, Battle Creek, Michigan, United States| Sunnyside Sanatarium, Oaklandon, Indiana, United States| Cassopolis, Michigan, United States.| 42.322314,-85.18254| 39.872818,-85.956926| 41.910014,-86.0101",,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F62_004","White, Thomas J.| African Methodist Episcopal (A. M. E.) Church| Jones, Lovis| Frederick Douglass Memorial Hospital and Training School| African American nurses| African American nursing schools| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women","Battle Creek, Michigan, United States| Lombard and 16th Street, Philadelphia, Pennsylvania, United States| 42.029705,-87.648116| 39.945075,-75.168539","Rev. Thos. J. White
Nov. 11th, 1917
Battle Creek Michigan
Pastor of the A.M.E. Church
 
Frederick Douglass Memorial Hospital Training School
Lombard & Sixteenth St.
Philadelphia Pa.
 
I have been acquainted with Miss Lovice Jones. For six years. While she is not a member of my church, she attends service with us. Along the lines in which you are concerned, in view of the fact you are considering her application to become a student your school. Will say I know nothing against her moral character and see no reason why she will not do good work and be a credit to self & the institution.
 
I am Respectfully.
 
Thos. J. White
Pastor of A.M.E. Church
Battle creek Mich.
 
 
",,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F62_005","Frederick Douglass Memorial Hospital and Training School| Cassopolis Michigan High School| African American nurses| African American nursing schools| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women","17 Elm Street, Battle Creek, Michigan, United States|  Lombard and 16th Street, Philadelphia, Pennsylvania, United States| Cassopolis, Michigan, United States| 42.32207,-85.172255| 39.945075,-75.168539| 41.910014,-86.0101","Battle Creek Mich.
Nov. 6. 1917
17 Elm St.
 
Douglas Hospital Training School
Philadelphia Pa.
 
Dear Sir:
 
Will you kindly give me information of requirements for attending the school of training for female nurses. I am twenty-six, have graduated from Cassopolis, Mich High School, since which time  I have done housework.
 
I wish to better myself and be more useful to my own race in the future and I think I would enjoy the nursing. I have no permanent home but am always welcome in the family of Mr. Fisk, druggist in Cassopolis, they are one of the best families in the town and I made my home with them during my school life, they will gladly vouch for me, as to character [strikeout]etc.[strikeout] etc. Colored students are not accepted in the training schools here, else I would remain. [Finally] let me here if there is any [strikeout]opportunity[strikeout] opportunity to earn my way while training as I have no capital. 
 
Sincerely Yours,
 
Miss Lovice Jones
",,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F62_006","Jones, Lovice L.| Tower, L. H.| African American nurses| African American nursing schools| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women","Battle Creek, Calhoun County, Michigan, United States| 42.321152, -85.179714","To whom it may concern
 
This is to state that Miss Lovice L. Jones has been examined by me and found to be in perfect health, and fit for any service to which she may be called.
 
Dr. L. H. Tower
",,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F62_007","Jones, Lovis L.| Brue, Malvina| Browne, Elsie M.| Frederick Douglass Memorial Hospital and Training School| African American nurses| African American nursing schools| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women","Philadelphia, Pennsylvania, United States",,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F62_021","Jones, Lovis L,| Brue, Malvina| Browne, Elise M.| Frederick Douglass Memorial Hospital and Training School| African American nurses| African American nursing schools| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women","Philadelphia, Pennsylvania, United States",,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F62_023","Jones, Lovis L,| Brue, Malvina| Browne, Elise M.| Frederick Douglass Memorial Hospital and Training School| African American nurses| African American nursing schools| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women","Philadelphia, Pennsylvania, United States",,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F62_025","Jones, Lovis L,| Brue, Malvina| Browne, Elise M.| Frederick Douglass Memorial Hospital and Training School| African American nurses| African American nursing schools| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women","Philadelphia, Pennsylvania, United States",,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F63_001","Junior, Edith E.| Brue, Malvina| Frederick Douglass Hospital and Training School| African American nurses| African American nursing schools| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women","Philadelphia, Pennsylvania, United States",,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F63_012","Junior, Edith E.| African American nurses| African American nursing schools| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women",,,,,,,,,,,,,
