identifier,digital resource locator,contributing repository,title,date created (W3CDTF),"date created (human readable, for approximate dates)",creator,rights,language,subject,type,extent,spatial,description,publisher,isPartOf,full text available (y/n)?,local data 1,local data 2,local data 3
MC90_B11_F11_1909_09_02,https://omeka.chrc-phila.org/items/show/8162,Catholic Historical Research Center,"Postcard to John James Campbell from Sarah Jane Campbell, 09/02/1909",1909-09-02,,"Campbell, Sarah Jane, 1844-1928.","Public Domain: We believe this material to be in the public domain and free of known restrictions under copyright law, including all related and neighboring rights. While CHRC claims no rights or authority over this material, we do ask that any publication or use of this material cite CHRC as the source of the images and the repository where the original documents can be found.",eng,Catholics--Pennsylvania--Philadelphia | Catholic women | Campbell Correspondence,text,2 pages,"Portsmouth, (RI)","Postcard to John James Campbell from Sarah Jane Campbell, mentions a visit to Philadelphia and the use of a Victor record player.",,"Martin-Campbell-Furlong Family Papers, MC 90",,,,
MC90_B11_F11_1910_08_01,https://omeka.chrc-phila.org/items/show/8163,Catholic Historical Research Center,"Letter to John James Campbell from Sarah Jane Campbell, 08/01/1910",1910-08-01,,"Campbell, Sarah Jane, 1844-1928.","Public Domain: We believe this material to be in the public domain and free of known restrictions under copyright law, including all related and neighboring rights. While CHRC claims no rights or authority over this material, we do ask that any publication or use of this material cite CHRC as the source of the images and the repository where the original documents can be found.",eng,Catholics--Pennsylvania--Philadelphia | Catholic women | Campbell Correspondence,text,6 pages,"Pocono Pines, (PA)","Letter to John James Campbell from Sarah Jane Campbell, requests John send a book and mentions her time in the Pocono Mountains.",,"Martin-Campbell-Furlong Family Papers, MC 90",,,,
MC90_B11_F11_1910_08_03,https://omeka.chrc-phila.org/items/show/8164,Catholic Historical Research Center,"Postcard to John James Campbell from Sarah Jane Campbell, 08/03/1910",1910-08-03,,"Campbell, Sarah Jane, 1844-1928.","Public Domain: We believe this material to be in the public domain and free of known restrictions under copyright law, including all related and neighboring rights. While CHRC claims no rights or authority over this material, we do ask that any publication or use of this material cite CHRC as the source of the images and the repository where the original documents can be found.",eng,Catholics--Pennsylvania--Philadelphia | Catholic women | Campbell Correspondence,text,2 pages,"Pocono Pines, (PA)","Postcard to John James Campbell from Sarah Jane Campbell, discusses photos from Gutekunst.",,"Martin-Campbell-Furlong Family Papers, MC 90",,,,
MC90_B11_F11_1914_08_08,https://omeka.chrc-phila.org/items/show/8165,Catholic Historical Research Center,"Letter to William James Campbell from Sarah Jane Campbell, 08/08/1914",1914-08-08,,"Campbell, Sarah Jane, 1844-1928.","Public Domain: We believe this material to be in the public domain and free of known restrictions under copyright law, including all related and neighboring rights. While CHRC claims no rights or authority over this material, we do ask that any publication or use of this material cite CHRC as the source of the images and the repository where the original documents can be found.",eng,Catholics--Pennsylvania--Philadelphia | Catholic women | Campbell Correspondence,text,2 pages,"Portsmouth, (RI)",Letter to William James Campbell from Sarah Jane Campbell about mail and newspaper delivery.,,"Martin-Campbell-Furlong Family Papers, MC 90",,,,
MC90_B11_F11_1914_08_19,https://omeka.chrc-phila.org/items/show/8166,Catholic Historical Research Center,"Letter to William James Campbell from Sarah Jane Campbell, 08/19/1914",1914-08-19,,"Campbell, Sarah Jane, 1844-1928.","Public Domain: We believe this material to be in the public domain and free of known restrictions under copyright law, including all related and neighboring rights. While CHRC claims no rights or authority over this material, we do ask that any publication or use of this material cite CHRC as the source of the images and the repository where the original documents can be found.",eng,Catholics--Pennsylvania--Philadelphia | Catholic women | Campbell Correspondence,text,4 pages,"Portsmouth, (RI)",Letter to William James Campbell from Sarah Jane Campbell about World War I and life in Rhode Island.,,"Martin-Campbell-Furlong Family Papers, MC 90",,,,
MC90_B11_F11_1914_08_20,https://omeka.chrc-phila.org/items/show/8167,Catholic Historical Research Center,"Letter to Frances Martin Campbell from Sarah Jane Campbell, 08/20/1914",1914-08-20,,"Campbell, Sarah Jane, 1844-1928.","Public Domain: We believe this material to be in the public domain and free of known restrictions under copyright law, including all related and neighboring rights. While CHRC claims no rights or authority over this material, we do ask that any publication or use of this material cite CHRC as the source of the images and the repository where the original documents can be found.",eng,Catholics--Pennsylvania--Philadelphia | Catholic women | Campbell Correspondence,text,4 pages,"Portsmouth, (RI)",Letter to Frances Martin Campbell from Sarah Jane Campbell about flowers and life in Rhode Island.,,"Martin-Campbell-Furlong Family Papers, MC 90",,,,
MC90_B11_F11_1915_08_10,https://omeka.chrc-phila.org/items/show/8168,Catholic Historical Research Center,"Letter to John James Campbell from Sarah Jane Campbell, 08/10/1915",1915-08-10,,"Campbell, Sarah Jane, 1844-1928.","Public Domain: We believe this material to be in the public domain and free of known restrictions under copyright law, including all related and neighboring rights. While CHRC claims no rights or authority over this material, we do ask that any publication or use of this material cite CHRC as the source of the images and the repository where the original documents can be found.",eng,Catholics--Pennsylvania--Philadelphia | Catholic women | Campbell Correspondence,text,4 pages,"Portsmouth, (RI)",Letter to John James Campbell from Sarah Jane Campbell about life in Rhode Island,,"Martin-Campbell-Furlong Family Papers, MC 90",,,,
MC90_B11_F11_1916_08_22,https://omeka.chrc-phila.org/items/show/8169,Catholic Historical Research Center,"Postcard to John James Campbell from Sarah Jane Campbell, 08/22/1916",1916-08-22,,"Campbell, Sarah Jane, 1844-1928.","Public Domain: We believe this material to be in the public domain and free of known restrictions under copyright law, including all related and neighboring rights. While CHRC claims no rights or authority over this material, we do ask that any publication or use of this material cite CHRC as the source of the images and the repository where the original documents can be found.",eng,Catholics--Pennsylvania--Philadelphia | Catholic women | Campbell Correspondence,text,2 pages,"Portsmouth, (RI)","Postcard to John James Campbell from Sarah Jane Campbell, thank you for sending packages and will send money by mail.",,"Martin-Campbell-Furlong Family Papers, MC 90",,,,
MC90_B11_F11_1917_12_25,https://omeka.chrc-phila.org/items/show/8170,Catholic Historical Research Center,"Letter to John James Campbell from Sarah Jane Campbell, 12/25/1917",1917-12-25,,"Campbell, Sarah Jane, 1844-1928.","Public Domain: We believe this material to be in the public domain and free of known restrictions under copyright law, including all related and neighboring rights. While CHRC claims no rights or authority over this material, we do ask that any publication or use of this material cite CHRC as the source of the images and the repository where the original documents can be found.",eng,Catholics--Pennsylvania--Philadelphia | Catholic women | Campbell Correspondence,text,10 pages,,"Letter to John James Campbell from Sarah Jane Campbell, contains song for Christmas.",,"Martin-Campbell-Furlong Family Papers, MC 90",,,,
MC90_B11_F11_1917_12_31,https://omeka.chrc-phila.org/items/show/8171,Catholic Historical Research Center,"Letter to William Martin Campbell from Sarah Jane Campbell, 12/31/1917",1917-12-31,,"Campbell, Sarah Jane, 1844-1928.","Public Domain: We believe this material to be in the public domain and free of known restrictions under copyright law, including all related and neighboring rights. While CHRC claims no rights or authority over this material, we do ask that any publication or use of this material cite CHRC as the source of the images and the repository where the original documents can be found.",eng,Catholics--Pennsylvania--Philadelphia | Catholic women | Campbell Correspondence,text,4 pages,"Philadelphia, (PA)",Letter to William Martin Campbell from Sarah Jane Campbell giving him updates on the family.,,"Martin-Campbell-Furlong Family Papers, MC 90",,,,
MC90_B11_F11_1918_01_08,https://omeka.chrc-phila.org/items/show/8172,Catholic Historical Research Center,"Letter to William Martin Campbell from Sarah Jane Campbell, 01/08/1918",1918-01-08,,"Campbell, Sarah Jane, 1844-1928.","Public Domain: We believe this material to be in the public domain and free of known restrictions under copyright law, including all related and neighboring rights. While CHRC claims no rights or authority over this material, we do ask that any publication or use of this material cite CHRC as the source of the images and the repository where the original documents can be found.",eng,Catholics--Pennsylvania--Philadelphia | Catholic women | Campbell Correspondence,text,6 pages,"Philadelphia, (PA)","Letter to William Martin Campbell from Sarah Jane Campbell, discusses Christmas celebrations and the war.",,"Martin-Campbell-Furlong Family Papers, MC 90",,,,
MC90_B11_F11_1918_01_31,https://omeka.chrc-phila.org/items/show/8173,Catholic Historical Research Center,"Letter to William Martin Campbell from Sarah Jane Campbell, 01/31/1918",1918-01-31,,"Campbell, Sarah Jane, 1844-1928.","Public Domain: We believe this material to be in the public domain and free of known restrictions under copyright law, including all related and neighboring rights. While CHRC claims no rights or authority over this material, we do ask that any publication or use of this material cite CHRC as the source of the images and the repository where the original documents can be found.",eng,Catholics--Pennsylvania--Philadelphia | Catholic women | Campbell Correspondence,text,4 pages,"Philadelphia, (PA)","Letter to William Martin Campbell from Sarah Jane Campbell, discusses the weather and the American Catholic Historical Society.",,"Martin-Campbell-Furlong Family Papers, MC 90",,,,
MC90_B11_F11_1918_02_19,https://omeka.chrc-phila.org/items/show/8174,Catholic Historical Research Center,"Letter to William Martin Campbell from Sarah Jane Campbell, 02/19/1919",1919-02-19,,"Campbell, Sarah Jane, 1844-1928.","Public Domain: We believe this material to be in the public domain and free of known restrictions under copyright law, including all related and neighboring rights. While CHRC claims no rights or authority over this material, we do ask that any publication or use of this material cite CHRC as the source of the images and the repository where the original documents can be found.",eng,Catholics--Pennsylvania--Philadelphia | Catholic women | Campbell Correspondence,text,4 pages,"Philadelphia, (PA)","Letter to William Martin Campbell from Sarah Jane Campbell, about sending and receiving mail and updates from Philadelphia.",,"Martin-Campbell-Furlong Family Papers, MC 90",,,,
MC90_B11_F11_1918_02_27,https://omeka.chrc-phila.org/items/show/8175,Catholic Historical Research Center,"Letter to William Martin Campbell from Sarah Jane Campbell, 02/27/1918",1918-02-27,,"Campbell, Sarah Jane, 1844-1928.","Public Domain: We believe this material to be in the public domain and free of known restrictions under copyright law, including all related and neighboring rights. While CHRC claims no rights or authority over this material, we do ask that any publication or use of this material cite CHRC as the source of the images and the repository where the original documents can be found.",eng,Catholics--Pennsylvania--Philadelphia | Catholic women | Campbell Correspondence,text,4 pages,"Philadelphia, (PA)","Letter to William Martin Campbell from Sarah Jane Campbell, gives updates from Philadelphia, including the death of Archbishop Prendergast.",,"Martin-Campbell-Furlong Family Papers, MC 90",,,,
MC90_B11_F11_1918_03_14,https://omeka.chrc-phila.org/items/show/8176,Catholic Historical Research Center,"Letter to William Martin Campbell from Sarah Jane Campbell, 03/14/1918",1918-03-14,,"Campbell, Sarah Jane, 1844-1928.","Public Domain: We believe this material to be in the public domain and free of known restrictions under copyright law, including all related and neighboring rights. While CHRC claims no rights or authority over this material, we do ask that any publication or use of this material cite CHRC as the source of the images and the repository where the original documents can be found.",eng,Catholics--Pennsylvania--Philadelphia | Catholic women | Campbell Correspondence,text,4 pages,"Philadelphia, (PA)","Letter to William Martin Campbell from Sarah Jane Campbell, updates from Philadelphia and Catholic involvement in the war.",,"Martin-Campbell-Furlong Family Papers, MC 90",,,,
MC90_B11_F11_1918_03_30,https://omeka.chrc-phila.org/items/show/8177,Catholic Historical Research Center,"Letter to William Martin Campbell from Sarah Jane Campbell, 03/30/1918",1918-03-30,,"Campbell, Sarah Jane, 1844-1928.","Public Domain: We believe this material to be in the public domain and free of known restrictions under copyright law, including all related and neighboring rights. While CHRC claims no rights or authority over this material, we do ask that any publication or use of this material cite CHRC as the source of the images and the repository where the original documents can be found.",eng,Catholics--Pennsylvania--Philadelphia | Catholic women | Campbell Correspondence,text,6 pages,"Philadelphia, (PA)","Letter to William Martin Campbell from Sarah Jane Campbell, giving updates of the family and life in Philadelphia.",,"Martin-Campbell-Furlong Family Papers, MC 90",,,,
MC90_B11_F11_1918_04_13,https://omeka.chrc-phila.org/items/show/8178,Catholic Historical Research Center,"Letter to William Martin Campbell from Sarah Jane Campbell, 04/13/1918",1918-04-13,,"Campbell, Sarah Jane, 1844-1928.","Public Domain: We believe this material to be in the public domain and free of known restrictions under copyright law, including all related and neighboring rights. While CHRC claims no rights or authority over this material, we do ask that any publication or use of this material cite CHRC as the source of the images and the repository where the original documents can be found.",eng,Catholics--Pennsylvania--Philadelphia | Catholic women | Campbell Correspondence,text,4 pages,"Philadelphia, (PA)","Letter to William Martin Campbell from Sarah Jane Campbell, updates of the family and life in Philadelphia",,"Martin-Campbell-Furlong Family Papers, MC 90",,,,
MC90_B11_F11_1918_04_20,https://omeka.chrc-phila.org/items/show/8179,Catholic Historical Research Center,"Letter to William Martin Campbell from Sarah Jane Campbell, 04/20/1918",1918-04-20,,"Campbell, Sarah Jane, 1844-1928.","Public Domain: We believe this material to be in the public domain and free of known restrictions under copyright law, including all related and neighboring rights. While CHRC claims no rights or authority over this material, we do ask that any publication or use of this material cite CHRC as the source of the images and the repository where the original documents can be found.",eng,Catholics--Pennsylvania--Philadelphia | Catholic women | Campbell Correspondence,text,4 pages,"Philadelphia, (PA)","Letter to William Martin Campbell from Sarah Jane Campbell, about gardening and a lecture at the American Philosophical Society.",,"Martin-Campbell-Furlong Family Papers, MC 90",,,,
MC90_B11_F11_1918_04_27,https://omeka.chrc-phila.org/items/show/8180,Catholic Historical Research Center,"Letter to William Martin Campbell from Sarah Jane Campbell, 04/27/1918",1918-04-27,,"Campbell, Sarah Jane, 1844-1928.","Public Domain: We believe this material to be in the public domain and free of known restrictions under copyright law, including all related and neighboring rights. While CHRC claims no rights or authority over this material, we do ask that any publication or use of this material cite CHRC as the source of the images and the repository where the original documents can be found.",eng,Catholics--Pennsylvania--Philadelphia | Catholic women | Campbell Correspondence,text,4 pages,"Philadelphia, (PA)",Letter to William Martin Campbell from Sarah Jane Campbell discusses mailing packages and a parade in Germantown.,,"Martin-Campbell-Furlong Family Papers, MC 90",,,,
MC90_B11_F11_1923_07_18,https://omeka.chrc-phila.org/items/show/8181,Catholic Historical Research Center,"Letter to Frances Martin Campbell from Sarah Jane Campbell, 07/18/1923",1923-07-18,,"Campbell, Sarah Jane, 1844-1928.","Public Domain: We believe this material to be in the public domain and free of known restrictions under copyright law, including all related and neighboring rights. While CHRC claims no rights or authority over this material, we do ask that any publication or use of this material cite CHRC as the source of the images and the repository where the original documents can be found.",eng,Catholics--Pennsylvania--Philadelphia | Catholic women | Campbell Correspondence,text,3 pages,"Portsmouth, (RI)","Letter to Frances Martin Campbell from Sarah Jane Campbell, discusses traveling and life in Rhode Island.",,"Martin-Campbell-Furlong Family Papers, MC 90",,,,
MC90_B11_F11_1923_07_21,https://omeka.chrc-phila.org/items/show/8182,Catholic Historical Research Center,"Letter to Frances Martin Campbell from Sarah Jane Campbell, 07/21/1921",1921-07-21,,"Campbell, Sarah Jane, 1844-1928.","Public Domain: We believe this material to be in the public domain and free of known restrictions under copyright law, including all related and neighboring rights. While CHRC claims no rights or authority over this material, we do ask that any publication or use of this material cite CHRC as the source of the images and the repository where the original documents can be found.",eng,Catholics--Pennsylvania--Philadelphia | Catholic women | Campbell Correspondence,text,5 pages,"Portsmouth, (RI)","Letter to Frances Martin Campbell from Sarah Jane Campbell, discusses life in Rhode Island",,"Martin-Campbell-Furlong Family Papers, MC 90",,,,
MC90_B11_F11_1924_08_06,https://omeka.chrc-phila.org/items/show/8183,Catholic Historical Research Center,"Letter to John James Campbell from Sarah Jane Campbell, 08/06/1924",1924-08-06,,"Campbell, Sarah Jane, 1844-1928.","Public Domain: We believe this material to be in the public domain and free of known restrictions under copyright law, including all related and neighboring rights. While CHRC claims no rights or authority over this material, we do ask that any publication or use of this material cite CHRC as the source of the images and the repository where the original documents can be found.",eng,Catholics--Pennsylvania--Philadelphia | Catholic women | Campbell Correspondence,text,3 pages,"Portsmouth, (RI)","Letter to John James Campbell from Sarah Jane Campbell, describes her arrival in Rhode Island.",,"Martin-Campbell-Furlong Family Papers, MC 90",,,,
MC90_B11_F11_1924_08_08,https://omeka.chrc-phila.org/items/show/8184,Catholic Historical Research Center,"Postcard to Elizabeth A. Campbell from Sarah Jane Campbell, 08/08/1924",1924-08-08,,"Campbell, Sarah Jane, 1844-1928.","Public Domain: We believe this material to be in the public domain and free of known restrictions under copyright law, including all related and neighboring rights. While CHRC claims no rights or authority over this material, we do ask that any publication or use of this material cite CHRC as the source of the images and the repository where the original documents can be found.",eng,Catholics--Pennsylvania--Philadelphia | Catholic women | Campbell Correspondence,text,2 pages,"Portsmouth, (RI)",Postcard to Elizabeth A. Campbell (wife of William James Campbell) from Sarah Jane Campbell about a trunk.,,"Martin-Campbell-Furlong Family Papers, MC 90",,,,
MC90_B11_F11_1924_08_11,https://omeka.chrc-phila.org/items/show/8185,Catholic Historical Research Center,"Letter to Frances Martin Campbell from Sarah Jane Campbell, 08/11/1924",1924-08-11,,"Campbell, Sarah Jane, 1844-1928.","Public Domain: We believe this material to be in the public domain and free of known restrictions under copyright law, including all related and neighboring rights. While CHRC claims no rights or authority over this material, we do ask that any publication or use of this material cite CHRC as the source of the images and the repository where the original documents can be found.",eng,Catholics--Pennsylvania--Philadelphia | Catholic women | Campbell Correspondence,text,5 pages,"Portsmouth, (RI)","Letter to Frances Martin Campbell from Sarah Jane Campbell, discusses mail and newspaper delivery.",,"Martin-Campbell-Furlong Family Papers, MC 90",,,,
MC90_B11_F11_1924_08_15,https://omeka.chrc-phila.org/items/show/8186,Catholic Historical Research Center,"Letter to Elizabeth A. Campbell from Sarah Jane Campbell, 08/15/1924",1924-08-15,,"Campbell, Sarah Jane, 1844-1928.","Public Domain: We believe this material to be in the public domain and free of known restrictions under copyright law, including all related and neighboring rights. While CHRC claims no rights or authority over this material, we do ask that any publication or use of this material cite CHRC as the source of the images and the repository where the original documents can be found.",eng,Catholics--Pennsylvania--Philadelphia | Catholic women | Campbell Correspondence,text,3 pages,"Portsmouth, (RI)",Letter to Elizabeth A. Campbell from Sarah Jane Campbell about life in Rhode Island.,,"Martin-Campbell-Furlong Family Papers, MC 90",,,,
